"plant_id","name","us_state","pattern","type","color_flower","color_foliage","texture_foliage","color_fruit","shape"
"5826","CASU15","Carex ×subviridula","USA (MI), CAN (BC, NB, NF, NS, ON, QC)","Monocot","Graminoid","","","","",""
"5827","CASU16","Carex ×sullivantii","USA (DE, MA, NY, OH, VA), CAN (ON)","Monocot","Graminoid","","","","",""
"5828","CASU67","Carex superata","USA (AL, FL, GA, KY, MS, NC, SC, TN, VA)","Monocot","Graminoid","","","","",""
"5829","CASU9","Carex supina","USA (AK, MN), CAN (AB, BC, LB, MB, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","","","",""
"5830","CASUS3","Carex supina var. spaniocarpa","USA (AK, MN), CAN (AB, BC, LB, MB, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","","","",""
"5831","CASW","Carex swanii","USA (AR, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (BC, NB, NS, ON, QC)","Monocot","Graminoid","","","","",""
"5832","CASY","Carex sychnocephala","USA (AK, CO, IA, MI, MN, MO, MT, ND, NY, SD, WA, WI), CAN (AB, BC, MB, NT, ON, QC, SK, YT)","Monocot","Graminoid","","","","",""
"5833","CASY3","Carex sylvatica","USA (NY, WA), CAN (BC, ON)","Monocot","Graminoid","","","","",""
"5834","CATA","Carex tahoensis","USA (AK, AZ, CA, CO, ID, MT, NM, UT, WA, WY), CAN (AB, BC, YT)","Monocot","Graminoid","","","","",""
"5835","CATE12","Carex tenax","USA (AL, FL, GA, LA, MS, NC, SC, TX)","Monocot","Graminoid","","","","",""
"5836","CATE3","Carex tenera","USA (AL, CO, CT, DC, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, QC, SK)","Monocot","Graminoid","Green","Green","Fine","Brown","Erect"
"5837","CATE4","Carex teneriformis","USA (CA, ID, NV, OR)","Monocot","Graminoid","","","","",""
"5838","CATE5","Carex tenuiflora","USA (AK, CO, MA, ME, MI, MN, MT, NY, OH, VT, WA, WI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT)","Monocot","Graminoid","","","","",""
"5839","CATE6","Carex tetanica","USA (CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, WI, WV), CAN (MB, ON, SK)","Monocot","Graminoid","","","","",""
"5840","CATE29","Carex tetrastachya","USA (LA, OK, TX)","Monocot","Graminoid","","","","",""
"5841","CATE7","Carex texensis","USA (AL, AR, CA, DC, DE, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)","Monocot","Graminoid","","","","",""
"5842","CATH5","Carex thornei","USA (AL, FL, GA)","Monocot","Graminoid","","","","",""
"5843","CATH6","Carex thunbergii","USA (HI)","Monocot","Graminoid","","","","",""
"5844","CATH","Carex thurberi","USA (AZ)","Monocot","Graminoid","","","","",""
"5845","CATI6","Carex timida","USA (AL, AR, IN, KY, MO, OH, OK, TN)","Monocot","Graminoid","","","","",""
"5846","CATI2","Carex tincta","USA (CT, MA, ME, MI, NH, NY, VT, WI), CAN (NB, NS, ON, PE, QC)","Monocot","Graminoid","","","","",""
"5847","CATI5","Carex tiogana","USA (CA)","Monocot","Graminoid","","","","",""
"5848","CATO9","Carex tompkinsii","USA (CA)","Monocot","Graminoid","","","","",""
"5849","CATO10","Carex tonsa","USA (CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NH, NJ, NY, OH, PA, RI, SC, VA, VT, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK)","Monocot","Graminoid","","","","",""
"5850","CATOR","Carex tonsa var. rugosperma","USA (CT, DE, IN, KY, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, SC, VA, VT, WI, WV), CAN (MB, NS, ON, QC, SK)","Monocot","Graminoid","","","","",""
"5851","CATOT","Carex tonsa var. tonsa","USA (CT, DC, DE, GA, IA, IL, IN, MA, MD, ME, MI, MN, MO, NH, NJ, NY, PA, RI, SC, VA, VT, WI, WV), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC, SK)","Monocot","Graminoid","","","","",""
"5852","CATO3","Carex torreyi","USA (CO, MN, MT, ND, SD, WI, WY), CAN (AB, BC, MB, SK)","Monocot","Graminoid","","","","",""
"5853","CATO4","Carex torta","USA (AL, AR, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WV), CAN (NB, NS, ON, QC)","Monocot","Graminoid","Green","Green","Medium","Brown","Erect"
"5854","CATR6","Carex triangularis","USA (AL, AR, GA, IN, KS, KY, LA, MO, MS, OK, SC, TN, TX)","Monocot","Graminoid","","","","",""
"5855","CATR7","Carex tribuloides","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (BC, MB, NB, NS, ON, QC)","Monocot","Graminoid","Green","Green","Coarse","Brown","Erect"
"5856","CATRS2","Carex tribuloides var. sangamonensis","USA (AL, AR, DE, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, NJ, SC, TN, TX, VA, WV)","Monocot","Graminoid","","","","",""
"5857","CATRT2","Carex tribuloides var. tribuloides","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (BC, MB, NB, NS, ON, QC)","Monocot","Graminoid","","","","",""
"5858","CATR11","Carex ×trichina","USA (ME, MI), CAN (LB, NF, QC)","Monocot","Graminoid","","","","",""
"5859","CATR8","Carex trichocarpa","USA (CT, DE, IA, IL, IN, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","Green","Green","Coarse","Brown","Erect"
"5860","CATR9","Carex triquetra","USA (CA)","Monocot","Graminoid","","","","",""
"5861","CATR10","Carex trisperma","USA (CT, DE, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK), DEN (GL), FRA (SPM)","Monocot","Graminoid","Green","Green","Fine","Brown","Semi-Erect"
"5862","CATRT3","Carex trisperma var. trisperma","USA (CT, DE, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","",""
"5863","CATU2","Carex tuckermanii","USA (CT, IA, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, VT, WI, WV), CAN (NB, NS, ON, QC)","Monocot","Graminoid","","","","",""
"5864","CATU3","Carex tumulicola","USA (CA, ID, OR, WA), CAN (BC)","Monocot","Graminoid","","","","",""
"5865","CATU17","Carex turbinata","USA (CA)","Monocot","Graminoid","","","","",""
"5866","CATU4","Carex turgescens","USA (AL, FL, GA, LA, MS, NC, SC)","Monocot","Graminoid","","","","",""
"5867","CATY","Carex typhina","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Monocot","Graminoid","Green","Green","Medium","Brown","Erect"
"5868","CAUL","Carex ultra","USA (AZ, NM)","Monocot","Graminoid","","","","",""
"5869","CAUM4","Carex umbellata","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), DEN (GL)","Monocot","Graminoid","","","","",""
"5870","CAUN3","Carex unilateralis","USA (CA, ID, OR, WA), CAN (BC)","Monocot","Graminoid","","","","",""
"5871","CAUR","Carex ursina","USA (AK), CAN (LB, MB, NT, NU, QC, YT), DEN (GL)","Monocot","Graminoid","","","","",""
"5872","CAUT","Carex utriculata","USA (AK, CA, CO, CT, DC, DE, IA, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)","Monocot","Graminoid","Green","Green","Medium","Brown","Semi-Erect"
"5873","CAVA15","Carex vacillans","USA (MA, ME), CAN (LB, NB, NF, NS, PE, QC), FRA (SPM)","Monocot","Graminoid","","","","",""
"5874","CAVA2","Carex vaginata","USA (AK, ME, MI, MN, MT, NY, VT, WI), CAN (AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)","Monocot","Graminoid","","","","",""
"5875","CAVA3","Carex vallicola","USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (BC)","Monocot","Graminoid","","","","",""
"5876","CAVAR","Carex vallicola var. rusbyi","USA (AZ, NM)","Monocot","Graminoid","","","","",""
"5877","CAVAV","Carex vallicola var. vallicola","USA (CA, CO, ID, MT, NV, OR, SD, UT, WA, WY), CAN (BC)","Monocot","Graminoid","","","","",""
"5878","CAVE7","Carex venusta","USA (AL, DC, DE, FL, GA, KY, LA, MD, MS, NC, NJ, NY, SC, TN, VA)","Monocot","Graminoid","","","","",""
"5879","CAVEM","Carex venusta var. minor","USA (AL, DC, DE, FL, GA, LA, MD, MS, NC, NJ, NY, SC, TN, VA)","Monocot","Graminoid","","","","",""
"5880","CAVEV","Carex venusta var. venusta","USA (FL, GA, KY, MS, NC, SC, TN, VA)","Monocot","Graminoid","","","","",""
"5881","CAVE5","Carex vernacula","USA (CA, CO, ID, NV, OR, UT, WA, WY)","Monocot","Graminoid","","","","",""
"5882","CAVE8","Carex verrucosa","USA (AL, FL, GA, LA, MD, MS, NC, SC, TX, VA)","Monocot","Graminoid","","","","",""
"5883","CAVE6","Carex vesicaria","USA (CT, DE, ID, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NH, NJ, NM, NY, OH, OR, PA, RI, UT, VT, WA, WI, WV, WY), FRA (SPM)","Monocot","Graminoid","Green","Green","Fine","Brown","Erect"
"5884","CAVE9","Carex vestita","USA (AL, CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, PA, RI, TN, VA)","Monocot","Graminoid","","","","",""
"5885","CAVE10","Carex vexans","USA (FL)","Monocot","Graminoid","","","","",""
"5886","CAVI3","Carex vicaria","USA (ID, OR, WA)","Monocot","Graminoid","","","","",""
"5887","CAVI4","Carex virescens","USA (AL, AR, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV), CAN (ON)","Monocot","Graminoid","","","","",""
"5888","CAVI30","Carex viridistellata","USA (IN, MI, OH)","Monocot","Forb/herb","","","","",""
"5889","CAVI5","Carex viridula","USA (AK, CA, CO, CT, DC, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","Green","Green","Fine","Brown","Erect"
"5890","CAVIB","Carex viridula ssp. brachyrrhyncha","USA (ME), CAN (LB, NB, NF, NS, QC), FRA (SPM)","Monocot","Graminoid","","","","",""
"5891","CAVIE","Carex viridula ssp. brachyrrhyncha var. elatior","USA (ME), CAN (LB, NB, NF, NS, QC), FRA (SPM)","Monocot","Graminoid","","","","",""
"5892","CAVIO","Carex viridula ssp. oedocarpa","USA (CT, ME, NH, NJ, RI, VT), CAN (LB, NF, NS, QC), FRA (SPM)","Monocot","Graminoid","","","","",""
"5893","CAVIV","Carex viridula ssp. viridula","USA (AK, CA, CO, CT, DC, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)","Monocot","Graminoid","","","","",""
"5894","CAVU2","Carex vulpinoidea","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Monocot","Graminoid","Green","Green","Fine","Yellow","Erect"
"5895","CAVUP2","Carex vulpinoidea var. pycnocephala","USA (IN, MI, MN), CAN (ON)","Monocot","Graminoid","","","","",""
"5896","CAVUV","Carex vulpinoidea var. vulpinoidea","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)","Monocot","Graminoid","","","","",""
"5897","CAWA","Carex wahuensis","USA (HI)","Monocot","Graminoid","","","","",""
"5898","CAWAH","Carex wahuensis ssp. herbstii","USA (HI)","Monocot","Graminoid","","","","",""
"5899","CAWAR2","Carex wahuensis ssp. rubiginosa","USA (HI)","Monocot","Graminoid","","","","",""
"5900","CAWAW","Carex wahuensis ssp. wahuensis","USA (HI)","Monocot","Graminoid","","","","",""
"5901","CAWH","Carex whitneyi","USA (CA, NV, OR)","Monocot","Graminoid","","","","",""
"5902","CAWI7","Carex wiegandii","USA (MA, ME, MI, NH, NJ, NY, PA, VT), CAN (LB, NB, NF, NS, ON, PE, QC), FRA (SPM)","Monocot","Graminoid","","","","",""
"5903","CAWI2","Carex willdenowii","USA (AL, AR, CT, DC, DE, IL, IN, KY, MA, MD, MO, NC, NJ, NY, OH, PA, SC, TN, TX, VA, VT, WV), CAN (ON)","Monocot","Graminoid","","","","",""
"5904","CAWI3","Carex williamsii","USA (AK), CAN (LB, MB, NF, NT, NU, ON, QC, YT)","Monocot","Graminoid","","","","",""
"5905","CAWO2","Carex woodii","USA (CT, DC, GA, IA, IL, IN, KY, MD, MI, MN, NC, NJ, NY, OH, PA, SC, VA, WI, WV), CAN (ON)","Monocot","Graminoid","","","","",""
"5906","CAWO","Carex wootonii","USA (AZ, NM)","Monocot","Graminoid","","","","",""
"5907","CAXE","Carex xerantica","USA (AK, ID, MN, ND, NE, SD, WA, WY), CAN (AB, BC, MB, ON, SK, YT)","Monocot","Graminoid","","","","",""
"5908","CAXE2","Carex xerophila","USA (CA)","Monocot","Graminoid","","","","",""
"5909","CARIC","Carica","USA (FL, HI, UM), USA+ (PR, VI)","Dicot","","","","","",""
"5910","CAPA23","Carica papaya","USA (FL, HI, UM), USA+ (PR, VI)","Dicot","Tree, Shrub","White","White-Gray","Medium","Orange","Erect"
"5911","CARIS","Carissa","USA (FL, TX, UM), USA+ (PR)","Dicot","","","","","",""
"5912","CAMA37","Carissa macrocarpa","USA (FL, TX, UM), USA+ (PR)","Dicot","Tree","","","","",""
"5913","CARLI","Carlina","USA (NJ, NY)","Dicot","","","","","",""
"5914","CAVU3","Carlina vulgaris","USA (NJ, NY)","Dicot","Forb/herb","","","","",""
"5915","CAVUL","Carlina vulgaris ssp. longifolia","USA (NJ, NY)","Dicot","Forb/herb","","","","",""
"5916","CARLO","Carlowrightia","USA (AZ, CA, NM, TX)","Dicot","","","","","",""
"5917","CAAR7","Carlowrightia arizonica","USA (AZ, CA, TX)","Dicot","Subshrub, Shrub","","","","",""
"5918","CALI2","Carlowrightia linearifolia","USA (AZ, NM, TX)","Dicot","Subshrub, Forb/herb","","","","",""
"5919","CAME18","Carlowrightia mexicana","USA (TX)","Dicot","Subshrub, Forb/herb","","","","",""
"5920","CAPA42","Carlowrightia parviflora","USA (TX)","Dicot","Subshrub","","","","",""
"5921","CAPA51","Carlowrightia parvifolia","USA (TX)","Dicot","Forb/herb","","","","",""
"5922","CASE3","Carlowrightia serpyllifolia","USA (TX)","Dicot","Subshrub","","","","",""
"5923","CATE15","Carlowrightia texana","USA (NM, TX)","Dicot","Subshrub, Forb/herb","","","","",""
"5924","CATO13","Carlowrightia torreyana","USA (TX)","Dicot","Forb/herb","","","","",""
"5925","CARLQ","Carlquistia","USA (CA)","Dicot","","","","","",""
"5926","CAMU27","Carlquistia muirii","USA (CA)","Dicot","Forb/herb","","","","",""
"5927","CARMI","Carminatia","USA (AZ, NM, TX)","Dicot","","","","","",""
"5928","CATE8","Carminatia tenuiflora","USA (AZ, NM, TX)","Dicot","Forb/herb","","","","",""
"5929","CARMO","Carmona","USA (HI)","Dicot","","","","","",""
"5930","CARE22","Carmona retusa","USA (HI)","Dicot","Tree, Shrub","","","","",""
"5931","CARNE2","Carnegiea","USA (AZ, CA)","Dicot","","","","","",""
"5932","CAGI10","Carnegiea gigantea","USA (AZ, CA)","Dicot","Tree","","","","",""
"5933","CARPE","Carpenteria","USA (CA)","Dicot","","","","","",""
"5934","CACA17","Carpenteria californica","USA (CA)","Dicot","Shrub","","","","",""
"5935","CARPH","Carphephorus","USA (AL, FL, GA, LA, MS, NC, SC, VA)","Dicot","","","","","",""
"5936","CABE4","Carphephorus bellidifolius","USA (GA, NC, SC, VA)","Dicot","Forb/herb","","","","",""
"5937","CACA59","Carphephorus carnosus","USA (FL)","Dicot","Forb/herb","","","","",""
"5938","CACO37","Carphephorus corymbosus","USA (FL, GA, SC)","Dicot","Forb/herb","","","","",""
"5939","CAOD3","Carphephorus odoratissimus","USA (AL, FL, GA, LA, MS, NC, SC)","Dicot","Forb/herb","","","","",""
"5940","CAPA53","Carphephorus paniculatus","USA (AL, FL, GA, NC, SC)","Dicot","Forb/herb","Purple","Green","Fine","Black","Erect"
"5941","CAPS5","Carphephorus pseudoliatris","USA (AL, FL, GA, LA, MS)","Dicot","Forb/herb","","","","",""
"5942","CATO5","Carphephorus tomentosus","USA (GA, NC, SC, VA)","Dicot","Forb/herb","","","","",""
"5943","CARPH2","Carphochaete","USA (AZ, NM, TX)","Dicot","","","","","",""
"5944","CABI6","Carphochaete bigelovii","USA (AZ, NM, TX)","Dicot","Subshrub, Forb/herb","","","","",""
"5945","CARPI","Carpinus","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Dicot","","","","","",""
"5946","CABE8","Carpinus betulus","USA (KY, NJ, NY)","Dicot","Tree","","","","",""
"5947","CACA18","Carpinus caroliniana","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree, Shrub","Orange","Green","Medium","Brown","Erect"
"5948","CACAC2","Carpinus caroliniana ssp. caroliniana","USA (AL, AR, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)","Dicot","Tree, Shrub","","","","",""
"5949","CACAV","Carpinus caroliniana ssp. virginiana","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree, Shrub","","","","",""
"5950","CACO60","Carpinus coreana","USA (NJ)","Dicot","Tree","","","","",""
"5951","CARPO","Carpobrotus","USA (CA, FL, OR)","Dicot","","","","","",""
"5952","CACH38","Carpobrotus chilensis","USA (CA, OR)","Dicot","Shrub, Forb/herb, Subshrub","","","","",""
"5953","CAED3","Carpobrotus edulis","USA (CA, FL)","Dicot","Shrub","","","","",""
"5954","CARTH","Carthamus","USA (AZ, CA, CO, IA, ID, IL, KS, MA, MT, ND, NE, NM, OH, OK, OR, SC, TX, UT, WA, WY), CAN (AB, BC)","Dicot","","","","","",""
"5955","CALA20","Carthamus lanatus","USA (AZ, CA, MA, OK, OR, SC, TX), CAN (BC)","Dicot","Forb/herb","","","","",""
"5956","CALAC3","Carthamus lanatus ssp. creticus","USA (AZ, CA, OR, SC), CAN (BC)","Dicot","Forb/herb","","","","",""
"5957","CALAL10","Carthamus lanatus ssp. lanatus","USA (CA, MA, OK, TX)","Dicot","Forb/herb","","","","",""
"5958","CALE52","Carthamus leucocaulos","USA (CA)","Dicot","Forb/herb","","","","",""
"5959","CAOX6","Carthamus oxyacanthus","USA (CA)","Dicot","Forb/herb","","","","",""
"5960","CATI","Carthamus tinctorius","USA (AZ, CA, CO, IA, ID, IL, KS, MA, MT, ND, NE, NM, OH, OR, TX, UT, WA, WY), CAN (AB, BC)","Dicot","Forb/herb","","","","",""
"5961","CARUM","Carum","USA (CO, CT, DC, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), DEN (GL), FRA (SPM)","Dicot","","","","","",""
"5962","CACA19","Carum carvi","USA (CO, CT, DC, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), DEN (GL), FRA (SPM)","Dicot","Forb/herb","","","","",""
"5963","CARYA","Carya","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Dicot","","","","","",""
"5964","CAAQ2","Carya aquatica","USA (AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)","Dicot","Tree","Yellow","Green","Coarse","Brown","Erect"
"5965","CABR16","Carya ×brownii","USA (AR, KS, LA, MO, MS, OH)","Dicot","Tree","","","","",""
"5966","CACA38","Carya carolinae-septentrionalis","USA (AL, GA, KY, MS, NC, SC, TN, VA)","Dicot","Tree","","","","",""
"5967","CACO24","Carya ×collina","USA (AR, MO)","Dicot","Tree","","","","",""
"5968","CACO15","Carya cordiformis","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree","Green","Green","Coarse","Brown","Erect"
"5969","CADE10","Carya ×demareei","USA (AR, KY)","Dicot","Tree","","","","",""
"5970","CADU3","Carya ×dunbarii","USA (NY)","Dicot","Tree","","","","",""
"5971","CAFL6","Carya floridana","USA (FL)","Dicot","Tree","","","","",""
"5972","CAGL8","Carya glabra","USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (ON)","Dicot","Tree","Yellow","Green","Coarse","Brown","Erect"
"5973","CAIL2","Carya illinoinensis","USA (AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA)","Dicot","Tree","Yellow","Yellow-Green","Fine","Brown","Erect"
"5974","CALA21","Carya laciniosa","USA (AL, AR, DC, DE, GA, IA, IL, IN, KS, KY, LA, MD, ME, MI, MO, MS, NC, NY, OH, OK, PA, SC, TN, TX, VA, WV), CAN (ON)","Dicot","Tree","Yellow","Green","Coarse","Brown","Erect"
"5975","CALA34","Carya ×laneyi","USA (NH, NY, PA, VT, WI), CAN (ON, QC)","Dicot","Tree","","","","",""
"5976","CALE13","Carya ×lecontei","USA (AR, IL, KY, LA, MO, MS, SC, TX)","Dicot","Tree","","","","",""
"5977","CALU8","Carya ×ludoviciana","USA (LA)","Dicot","Tree","","","","",""
"5978","CAMY","Carya myristiciformis","USA (AL, AR, GA, LA, MS, NC, OK, SC, TX)","Dicot","Tree","Yellow","Green","Coarse","Brown","Erect"
"5979","CANU8","Carya ×nussbaumeri","USA (IA, IL, IN, KY, MO)","Dicot","Tree","","","","",""
"5980","CAOV3","Carya ovalis","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV)","Dicot","Tree","","","","",""
"5981","CAOV2","Carya ovata","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree","Yellow","Green","Coarse","Brown","Erect"
"5982","CAPA24","Carya pallida","USA (AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, SC, TN, VA)","Dicot","Tree","","","","",""
"5983","CASC16","Carya ×schneckii","USA (IA, IL)","Dicot","Tree","","","","",""
"5984","CATE9","Carya texana","USA (AL, AR, GA, IL, IN, KS, KY, LA, MO, MS, OK, TN, TX)","Dicot","Tree","","","","",""
"5985","CATO6","Carya tomentosa","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)","Dicot","Tree","","","","",""
"5986","CARYO3","Caryopteris","USA (CO)","Dicot","","","","","",""
"5987","CACL7","Caryopteris ×clandonensis","USA (CO)","Dicot","Shrub","","","","",""
"5988","CARYO","Caryota","USA (FL)","Monocot","","","","","",""
"5989","CAMI36","Caryota mitis","USA (FL)","Monocot","Tree","","","","",""
"5990","CAUR3","Caryota urens","USA (FL)","Monocot","Tree","","","","",""
"5991","CASAS","Casasia","USA (FL)","Dicot","","","","","",""
"5992","CACL3","Casasia clusiifolia","USA (FL)","Dicot","Tree, Shrub","","","","",""
"5993","CASEA","Casearia","USA (FL), USA+ (PR, VI)","Dicot","","","","","",""
"5994","CANI17","Casearia nitida","USA (FL)","Dicot","Shrub, Tree","","","","",""
"5995","CASSI","Cassia","USA (FL), USA+ (PR, VI)","Dicot","","","","","",""
"5996","CAAF2","Cassia afrofistula","USA (FL)","Dicot","Tree","","","","",""
"5997","CAFI3","Cassia fistula","USA (FL), USA+ (PR, VI)","Dicot","Tree","","","","",""
