"Accepted Symbol","Synonym Symbol","Scientific Name","State and Province","Category","Growth Habit","Image Gallery","Characteristics Data","Flower Color","Foliage Color","Foliage Texture","Fruit Color","Shape and Orientation"
"ABMA","","Abies magnifica","USA (CA, NV, NY, OR)","Gymnosperm","Tree","Photo","Yes","Brown","Dark Green","Medium","Brown","Erect"
"ABMAM","","Abies magnifica var. magnifica","USA (CA, OR)","Gymnosperm","Tree","","","","","","",""
"ABMAS","","Abies magnifica var. shastensis","USA (CA, OR)","Gymnosperm","Tree","","","","","","",""
"ABPR","","Abies procera","USA (CA, OR, WA)","Gymnosperm","Tree","Photo","Yes","","Dark Green","Medium","Purple","Erect"
"ABIET","","Abietinella","USA (NJ)","Moss","","","","","","","",""
"ABAB70","","Abietinella abietina","USA (NJ)","Moss","Nonvascular","Photo","","","","","",""
"ABILD","","Abildgaardia","USA (FL), USA+ (PR, VI)","Monocot","","","","","","","",""
"ABOV","","Abildgaardia ovata","USA (FL), USA+ (PR, VI)","Monocot","Graminoid","","","","","","",""
"ABRON","","Abronia","USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (BC)","Dicot","","Photo","","","","","",""
"ABAL","","Abronia alpina","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ABAM2","","Abronia ameliae","USA (TX)","Dicot","Forb/herb","Photo","","","","","",""
"ABAM3","","Abronia ammophila","USA (WY)","Dicot","Forb/herb","","","","","","",""
"ABAN","","Abronia angustifolia","USA (AZ, NM, TX)","Dicot","Forb/herb","Photo","","","","","",""
"ABAR","","Abronia argillosa","USA (CO, UT)","Dicot","Forb/herb","","","","","","",""
"ABBI","","Abronia bigelovii","USA (NM)","Dicot","Forb/herb","Photo","","","","","",""
"ABBO","","Abronia bolackii","USA (NM)","Dicot","Forb/herb","","","","","","",""
"ABCA","","Abronia carletonii","USA (CO, NM, TX)","Dicot","Forb/herb","","","","","","",""
"ABEL","","Abronia elliptica","USA (AZ, CO, NM, NV, UT, WY)","Dicot","Forb/herb","","","","","","",""
"ABFR2","","Abronia fragrans","USA (AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)","Dicot","Forb/herb","Photo","","","","","",""
"ABGR2","","Abronia gracilis","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ABIN2","","Abronia insularis","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ABLA2","","Abronia latifolia","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb","Photo","","","","","",""
"ABMA5","","Abronia macrocarpa","USA (TX)","Dicot","Forb/herb","","","","","","",""
"ABMA2","","Abronia maritima","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ABME","","Abronia mellifera","USA (ID, OR, UT, WA, WY)","Dicot","Forb/herb","Photo","","","","","",""
"ABMI2","","Abronia minor","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ABNA","","Abronia nana","USA (AZ, CA, CO, NM, NV, UT)","Dicot","Forb/herb","Photo","","","","","",""
"ABNAC","","Abronia nana var. covillei","USA (CA, NV)","Dicot","Forb/herb","","","","","","",""
"ABNAH","","Abronia nana var. harrisii","USA (NM, UT)","Dicot","Forb/herb","","","","","","",""
"ABNAN","","Abronia nana var. nana","USA (AZ, CA, CO, NV, UT)","Dicot","Forb/herb","","","","","","",""
"ABNE","","Abronia neurophylla","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ABPO","","Abronia pogonantha","USA (CA, NV)","Dicot","Forb/herb","Photo","","","","","",""
"ABTU","","Abronia turbinata","USA (CA, NV, OR)","Dicot","Forb/herb","Photo","","","","","",""
"ABUM","","Abronia umbellata","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb, Vine","Photo","","","","","",""
"ABUMB","","Abronia umbellata ssp. breviflora","USA (CA, OR, WA), CAN (BC)","Dicot","Forb/herb, Vine","","","","","","",""
"ABUMU","","Abronia umbellata ssp. umbellata","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ABVI","","Abronia villosa","USA (AZ, CA, NV, UT)","Dicot","Forb/herb","Photo","","","","","",""
"ABVIA","","Abronia villosa var. aurita","USA (AZ, CA)","Dicot","Forb/herb","Photo","","","","","",""
"ABVIV","","Abronia villosa var. villosa","USA (AZ, CA, NV, UT)","Dicot","Forb/herb","Photo","","","","","",""
"ABRUS","","Abrus","USA (AL, AR, FL, GA, HI), USA+ (PR, VI)","Dicot","","","","","","","",""
"ABPR3","","Abrus precatorius","USA (AL, AR, FL, GA, HI), USA+ (PR, VI)","Dicot","Vine","Photo","","","","","",""
"ABUTI","","Abutilon","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","","Photo","","","","","",""
"ABAB","","Abutilon abutiloides","USA (AZ, TX), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABAU","","Abutilon auritum","USA (HI)","Dicot","Subshrub, Shrub","","","","","","",""
"ABBE","","Abutilon berlandieri","USA (TX)","Dicot","Shrub","","","","","","",""
"ABER","","Abutilon eremitopetalum","USA (HI)","Dicot","Shrub","","","","","","",""
"ABFR3","","Abutilon fruticosum","USA (AR, OK, TX)","Dicot","Subshrub","","","","","","",""
"ABGR3","","Abutilon grandifolium","USA (HI, UM)","Dicot","Shrub","","","","","","",""
"ABHI","","Abutilon hirtum","USA (FL), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"ABHU","","Abutilon hulseanum","USA (FL, LA, TX), USA+ (PR)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABHY","","Abutilon hypoleucum","USA (TX)","Dicot","Subshrub, Shrub","","","","","","",""
"ABIN","","Abutilon incanum","USA (AZ, CO, HI, NM)","Dicot","Subshrub, Forb/herb","Photo","","","","","",""
"ABIN3","","Abutilon indicum","USA (HI, MP, UM), USA+ (PR, VI)","Dicot","Subshrub, Shrub","","","","","","",""
"ABMA3","","Abutilon malacum","USA (AZ, NM, TX)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABME2","","Abutilon menziesii","USA (HI)","Dicot","Shrub","","","","","","",""
"ABMO2","","Abutilon mollicomum","USA (AZ, NM, TX)","Dicot","Subshrub, Shrub, Forb/herb","","","","","","",""
"ABPA","","Abutilon palmeri","USA (AZ, CA)","Dicot","Shrub, Subshrub","","","","","","",""
"ABPA2","","Abutilon parishii","USA (AZ)","Dicot","Subshrub, Shrub, Forb/herb","","","","","","",""
"ABPA3","","Abutilon parvulum","USA (AZ, CA, CO, NM, NV, TX, UT)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABPE","","Abutilon permolle","USA (FL), USA+ (PR)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABRE","","Abutilon reventum","USA (AZ)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABSA2","","Abutilon sandwicense","USA (HI)","Dicot","Shrub","","","","","","",""
"ABTH","","Abutilon theophrasti","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Dicot","Forb/herb","Photo","","","","","",""
"ABTH2","","Abutilon thurberi","USA (AZ)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ABTR","","Abutilon trisulcatum","USA (TX)","Dicot","Subshrub, Shrub","","","","","","",""
"ABWR","","Abutilon wrightii","USA (NM, TX)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ACACI","","Acacia","USA (AL, AR, AZ, CA, FL, GA, HI, KS, LA, MD, MO, MS, NM, NV, OK, OR, TX, UM, UT, VA), USA+ (PR, VI)","Dicot","","Photo","","","","","",""
"ACAN10","","Acacia aneura","USA (HI)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACAU","","Acacia auriculiformis","USA (FL)","Dicot","Tree, Shrub","","","","","","",""
"ACBA","","Acacia baileyana","USA (CA)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACCO","","Acacia confusa","USA (HI)","Dicot","Tree","Photo","","","","","",""
"ACCY2","","Acacia cyclops","USA (CA)","Dicot","Shrub","Photo","Yes","Yellow","Dark Green","Fine","Black","Semi-Erect"
"ACDE3","","Acacia dealbata","USA (CA, OR)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACDE","","Acacia decurrens","USA (CA)","Dicot","Tree","Photo","","","","","",""
"ACEL","","Acacia elata","USA (CA)","Dicot","Tree","Photo","","","","","",""
"ACKO","","Acacia koa","USA (HI)","Dicot","Tree","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"ACKO2","","Acacia koaia","USA (HI)","Dicot","Tree","","Yes","Yellow","Green","Fine","Yellow","Rounded"
"ACLO","","Acacia longifolia","USA (CA)","Dicot","Tree, Shrub","Photo","Yes","Yellow","Green","Fine","Brown","Semi-Erect"
"ACME80","","Acacia mearnsii","USA (CA, HI)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACME","","Acacia melanoxylon","USA (CA, HI)","Dicot","Tree","Photo","Yes","White","Dark Green","Fine","Brown","Erect"
"ACPA8","","Acacia paradoxa","USA (CA)","Dicot","Shrub","","","","","","",""
"ACPA81","","Acacia parramattensis","USA (HI)","Dicot","Tree","Photo","","","","","",""
"ACPO2","","Acacia podalyriifolia","USA (CA)","Dicot","Tree","Photo","","","","","",""
"ACPY3","","Acacia pycnantha","USA (CA)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACRE9","","Acacia redolens","USA (AZ, CA)","Dicot","Shrub","","","","","","",""
"ACRE2","","Acacia retinodes","USA (CA, FL)","Dicot","Tree, Shrub","","","","","","",""
"ACSA","","Acacia saligna","USA (CA)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACVE2","","Acacia verticillata","USA (CA)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACAEN","","Acaena","USA (CA, HI, OR)","Dicot","","","","","","","",""
"ACEX","","Acaena exigua","USA (HI)","Dicot","Forb/herb","","","","","","",""
"ACNO7","","Acaena novae-zelandiae","USA (CA, OR)","Dicot","Forb/herb","","","","","","",""
"ACPA14","","Acaena pallida","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACPI3","","Acaena pinnatifida","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ACPIC2","","Acaena pinnatifida var. californica","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACALY","","Acalypha","USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, GU, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, PW, RI, SC, SD, TN, TX, UM, VA, VT, WI, WV), USA+ (PR, VI), CAN (NB, NS, ON, QC)","Dicot","","","","","","","",""
"ACAL2","","Acalypha alopecuroidea","USA (AL, FL, LA), USA+ (PR)","Dicot","Forb/herb","","","","","","",""
"ACAR16","","Acalypha arvensis","USA (FL)","Dicot","Forb/herb","","","","","","",""
"ACAU6","","Acalypha australis","USA (NJ, NY)","Dicot","Forb/herb","","","","","","",""
"ACCA3","","Acalypha californica","USA (AZ, CA)","Dicot","Shrub, Subshrub","","","","","","",""
"ACCH2","","Acalypha chamaedryfolia","USA (FL), USA+ (PR, VI)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ACDE4","","Acalypha deamii","USA (AR, IA, IL, IN, KS, KY, MO, OH, PA, TN, VA)","Dicot","Forb/herb","","","","","","",""
"ACGR2","","Acalypha gracilens","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Forb/herb","Photo","","","","","",""
"ACME7","","Acalypha mexicana","USA (AZ)","Dicot","Forb/herb","","","","","","",""
"ACMO4","","Acalypha monococca","USA (AR, IL, KS, LA, MO, OK, TX)","Dicot","Forb/herb","","","","","","",""
"ACMO","","Acalypha monostachya","USA (TX)","Dicot","Subshrub, Forb/herb","","","","","","",""
"ACNE","","Acalypha neomexicana","USA (AZ, NM, TX)","Dicot","Forb/herb","","","","","","",""
"ACOS","","Acalypha ostryifolia","USA (AL, AR, AZ, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NJ, NM, OH, OK, PA, SC, TN, TX, VA, WV), USA+ (PR, VI)","Dicot","Forb/herb","","","","","","",""
"ACPH3","","Acalypha phleoides","USA (AZ, NM, TX)","Dicot","Forb/herb, Subshrub","","","","","","",""
"ACPO","","Acalypha poiretii","USA (AL, NJ, TX), USA+ (PR, VI)","Dicot","Forb/herb, Subshrub","","","","","","",""
"ACRA","","Acalypha radians","USA (TX)","Dicot","Forb/herb","","","","","","",""
"ACRH","","Acalypha rhomboidea","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (NB, NS, ON, QC)","Dicot","Forb/herb","Photo","","","","","",""
"ACSE","","Acalypha setosa","USA (AL, FL, GA, LA, MS, SC), USA+ (PR)","Dicot","Forb/herb","","","","","","",""
"ACVI","","Acalypha virginica","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)","Dicot","Forb/herb","Photo","Yes","Red","Green","Coarse","Red","Erect"
"ACAMP","","Acamptopappus","USA (AZ, CA, NV, UT)","Dicot","","","","","","","",""
"ACSH","","Acamptopappus shockleyi","USA (CA, NV)","Dicot","Subshrub","Photo","","","","","",""
"ACSP","","Acamptopappus sphaerocephalus","USA (AZ, CA, NV, UT)","Dicot","Subshrub, Shrub","","","","","","",""
"ACSPH","","Acamptopappus sphaerocephalus var. hirtellus","USA (AZ, CA, NV)","Dicot","Subshrub, Shrub","","","","","","",""
"ACSPS2","","Acamptopappus sphaerocephalus var. sphaerocephalus","USA (AZ, CA, NV, UT)","Dicot","Subshrub, Shrub","","","","","","",""
"ACANT6","","Acanthocereus","USA (FL, HI, TX), USA+ (VI)","Dicot","","Photo","","","","","",""
"ACTE4","","Acanthocereus tetragonus","USA (FL, HI, TX), USA+ (VI)","Dicot","Vine, Shrub","","","","","","",""
"ACANT2","","Acanthomintha","USA (CA)","Dicot","","","","","","","",""
"ACDU2","","Acanthomintha duttonii","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ACIL","","Acanthomintha ilicifolia","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ACLA2","","Acanthomintha lanceolata","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACOB","","Acanthomintha obovata","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACOBC","","Acanthomintha obovata ssp. cordata","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACOBO","","Acanthomintha obovata ssp. obovata","USA (CA)","Dicot","Forb/herb","","","","","","",""
"ACANT3","","Acanthospermum","USA (AL, AR, FL, GA, HI, LA, MA, MS, NC, NJ, NY, OR, PA, SC, TN, TX, VA), USA+ (PR, VI), CAN (ON)","Dicot","","","","","","","",""
"ACAU2","","Acanthospermum australe","USA (AL, AR, FL, GA, HI, LA, MA, MS, NC, NY, OR, PA, SC, TN, TX, VA)","Dicot","Forb/herb","","","","","","",""
"ACHI","","Acanthospermum hispidum","USA (AL, FL, GA, HI, NJ, NY, OR, SC, VA), USA+ (PR, VI), CAN (ON)","Dicot","Forb/herb","Photo","","","","","",""
"ACHU","","Acanthospermum humile","USA (AL, FL, NY, SC)","Dicot","Forb/herb","","","","","","",""
"ACANT7","","Acanthus","USA (CA)","Dicot","","Photo","","","","","",""
"ACMO8","","Acanthus mollis","USA (CA)","Dicot","Forb/herb","Photo","","","","","",""
"ACARO2","","Acarospora","USA (AK, AR, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT)","Lichen","","","","","","","",""
"ACSC5","","Acarospora schleicheri","USA (ID, NV)","Lichen","Lichenous","Photo","","","","","",""
"ACAUL","","Acaulon","USA (NY)","Moss","","","","","","","",""
"ACMU5","","Acaulon muticum","USA (NY)","Moss","Nonvascular","Photo","","","","","",""
"ACER","","Acer","USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)","Dicot","","Photo","","","","","",""
"ACCA5","","Acer campestre","USA (CA, IN, KY, MA, NJ, NY, OH, PA), CAN (ON)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACCI","","Acer circinatum","USA (AK, CA, OR, WA), CAN (BC)","Dicot","Tree, Shrub, Vine","Photo","Yes","Green","Green","Medium","Brown","Erect"
"ACFL","","Acer floridanum","USA (AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)","Dicot","Tree","","","","","","",""
"ACFR","","Acer ×freemanii","USA (KY, ME, NC, NY, OH, WI), CAN (ON, QC)","Dicot","Tree","","","","","","",""
"ACGI","","Acer ginnala","USA (CT, IA, IL, KY, MA, ME, MI, MN, ND, NH, NJ, NY, OH, PA, VT, WI), CAN (MB, NB, ON, SK)","Dicot","Tree, Shrub","Photo","Yes","White","Green","Medium","Brown","Rounded"
"ACGL","","Acer glabrum","USA (AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)","Dicot","Tree, Shrub","Photo","Yes","Green","Green","Coarse","Brown","Erect"
"ACGLD3","","Acer glabrum var. diffusum","USA (AZ, CA, NV, UT)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACGLD4","","Acer glabrum var. douglasii","USA (AK, CA, ID, MT, NV, OR, WA, WY), CAN (AB, BC)","Dicot","Tree, Shrub","Photo","Yes","Green","Green","Coarse","Brown","Erect"
"ACGLG2","","Acer glabrum var. glabrum","USA (AZ, CO, ID, MT, NE, NM, NV, SD, UT, WY)","Dicot","Tree, Shrub","","","","","","",""
"ACGLG","","Acer glabrum var. greenei","USA (CA)","Dicot","Tree, Shrub","","","","","","",""
"ACGLN2","","Acer glabrum var. neomexicanum","USA (AZ, CO, NM, UT)","Dicot","Tree, Shrub","","","","","","",""
"ACGLT2","","Acer glabrum var. torreyi","USA (CA, NV, OR)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACGR3","","Acer grandidentatum","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)","Dicot","Tree, Shrub","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"ACGRG","","Acer grandidentatum var. grandidentatum","USA (AZ, CO, ID, MT, NM, NV, TX, UT, WY)","Dicot","Tree, Shrub","","","","","","",""
"ACGRS","","Acer grandidentatum var. sinuosum","USA (AZ, NM, TX)","Dicot","Tree, Shrub","","","","","","",""
"ACJA2","","Acer japonicum","USA (NJ), CAN (ON)","Dicot","Tree","Photo","","","","","",""
"ACLE","","Acer leucoderme","USA (AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX)","Dicot","Tree, Shrub","","","","","","",""
"ACMA3","","Acer macrophyllum","USA (CA, OR, WA), CAN (BC)","Dicot","Tree","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"ACNE2","","Acer negundo","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Dicot","Tree","Photo","Yes","White","Green","Coarse","Brown","Erect"
"ACNEA","","Acer negundo var. arizonicum","USA (AZ, NM)","Dicot","Tree","","","","","","",""
"ACNEC2","","Acer negundo var. californicum","USA (CA)","Dicot","Tree","","","","","","",""
"ACNEI2","","Acer negundo var. interius","USA (AZ, CA, CO, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, SD, UT, WA, WI, WY)","Dicot","Tree","","","","","","",""
"ACNEN","","Acer negundo var. negundo","USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)","Dicot","Tree","Photo","","","","","",""
"ACNET","","Acer negundo var. texanum","USA (AL, AR, IN, KS, KY, LA, MO, MS, NC, NM, OK, TN, TX, VA)","Dicot","Tree","","","","","","",""
"ACNEV","","Acer negundo var. violaceum","USA (CO, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, OK, RI, SD, WA, WI, WY)","Dicot","Tree","","","","","","",""
"ACNI5","","Acer nigrum","USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV), CAN (ON, QC)","Dicot","Tree","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"ACPA2","","Acer palmatum","USA (CT, DC, DE, NJ, NY, OH, PA), CAN (ON)","Dicot","Tree, Shrub","Photo","","","","","",""
"ACPE","","Acer pensylvanicum","USA (CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)","Dicot","Tree, Shrub","Photo","Yes","Yellow","Green","Medium","Brown","Erect"
"ACPL","","Acer platanoides","USA (CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, PE, QC)","Dicot","Tree","Photo","Yes","Green","Green","Medium","Brown","Rounded"
"ACPS","","Acer pseudoplatanus","USA (CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI), CAN (BC, NB, NS, ON)","Dicot","Tree","Photo","Yes","Green","Yellow-Green","Coarse","Green","Erect"
"ACRU","","Acer rubrum","USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NF, NS, ON, PE, QC)","Dicot","Tree","Photo","Yes","Red","Green","Medium","Red","Rounded"
"ACRUD","","Acer rubrum var. drummondii","USA (AL, AR, DE, FL, GA, IL, IN, KY, LA, MO, MS, NC, NJ, OK, SC, TN, TX, VA)","Dicot","Tree","Photo","","","","","",""
