plant_id,name,pattern,color_flower,color_foliage,texture_foliage,color_fruit,shape,url
ACCI,Acer circinatum,Dicot,Green,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/pubs/acci_001_pvp.jpg
ACCL7,Achnatherum clandestinum,Monocot,,,,,,NULL
ACCO,Acacia confusa,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acco_001_shp.jpg
ACCO21,Achnatherum coronatum,Monocot,,,,,,NULL
ACCO22,Achnatherum contractum,Monocot,,,,,,NULL
ACCO3,Achyronychia cooperi,Dicot,,,,,,NULL
ACCO4,Aconitum columbianum,Dicot,Blue,Green,Medium,Black,Erect,http://plants.usda.gov/gallery/standard/acco4_001_shp.jpg
ACCOC3,Aconitum columbianum ssp. columbianum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/accoc3_001_shp.jpg
ACCOV2,Aconitum columbianum ssp. viviparum,Dicot,,,,,,NULL
ACCR,Acleisanthes crassifolia,Dicot,,,,,,NULL
ACCU6,Achnatherum curvifolium,Monocot,,,,,,NULL
ACCY2,Acacia cyclops,Dicot,Yellow,Dark Green,Fine,Black,Semi-Erect,http://plants.usda.gov/gallery/standard/accy2_001_shp.jpg
ACDA,Acrostichum danaeifolium,Fern,,,,,,NULL
ACDE,Acacia decurrens,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acde_001_shp.jpg
ACDE2,Aconitum delphiniifolium,Dicot,,,,,,NULL
ACDE3,Acacia dealbata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acde3_001_shp.jpg
ACDE4,Acalypha deamii,Dicot,,,,,,NULL
ACDE5,Acmella decumbens,Dicot,,,,,,NULL
ACDEC,Aconitum delphiniifolium ssp. chamissonianum,Dicot,,,,,,NULL
ACDED3,Aconitum delphiniifolium ssp. delphiniifolium,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acded3_001_pvp.jpg
ACDEP,Aconitum delphiniifolium ssp. paradoxum,Dicot,,,,,,NULL
ACDI10,Achnatherum diegoense,Monocot,,,,,,NULL
ACDI6,Achillea distans,Dicot,,,,,,NULL
ACDU2,Acanthomintha duttonii,Dicot,,,,,,NULL
ACEL,Acacia elata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acel_001_shp.jpg
ACEL4,Actaea elata,Dicot,,,,,,NULL
ACEM4,Achnatherum eminens,Monocot,,,,,,NULL
ACER,Acer,Dicot,,,,,,NULL
ACEX,Acaena exigua,Dicot,,,,,,NULL
ACFI,Achillea filipendulina,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acfi_001_shp.jpg
ACFL,Acer floridanum,Dicot,,,,,,NULL
ACFR,Acer í„freemanii,Dicot,,,,,,NULL
ACGI,Acer ginnala,Dicot,White,Green,Medium,Brown,Rounded,http://plants.usda.gov/gallery/pubs/acgi_001_pvp.jpg
ACGL,Acer glabrum,Dicot,Green,Green,Coarse,Brown,Erect,NULL
ACGLD3,Acer glabrum var. diffusum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acgld3_001_shp.jpg
ACGLD4,Acer glabrum var. douglasii,Dicot,Green,Green,Coarse,Brown,Erect,http://plants.usda.gov/gallery/standard/acgld4_001_shp.jpg
ACGLG,Acer glabrum var. greenei,Dicot,,,,,,NULL
ACGLG2,Acer glabrum var. glabrum,Dicot,,,,,,NULL
ACGLN2,Acer glabrum var. neomexicanum,Dicot,,,,,,NULL
ACGLT2,Acer glabrum var. torreyi,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acglt2_001_shp.jpg
ACGR2,Acalypha gracilens,Dicot,,,,,,NULL
ACGR3,Acer grandidentatum,Dicot,Yellow,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/standard/acgr3_001_shp.jpg
ACGRG,Acer grandidentatum var. grandidentatum,Dicot,,,,,,NULL
ACGRS,Acer grandidentatum var. sinuosum,Dicot,,,,,,NULL
ACHE10,Achnatherum hendersonii,Monocot,,,,,,NULL
ACHI,Acanthospermum hispidum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/achi_001_shp.jpg
ACHIL,Achillea,Dicot,,,,,,http://plants.usda.gov/gallery/standard/achil_001_shp.jpg
ACHLY,Achlys,Dicot,,,,,,NULL
ACHNA,Achnatherum,Monocot,,,,,,NULL
ACHNE,í„Achnella,Monocot,,,,,,NULL
ACHU,Acanthospermum humile,Dicot,,,,,,NULL
ACHY,Achnatherum hymenoides,Monocot,Yellow,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/pubs/achy_001_pvp.jpg
ACHYR,Achyrachaena,Dicot,,,,,,NULL
ACHYR2,Achyranthes,Dicot,,,,,,NULL
ACHYR3,Achyronychia,Dicot,,,,,,NULL
ACICA,Acicarpha,Dicot,,,,,,NULL
ACIL,Acanthomintha ilicifolia,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acil_001_shp.jpg
ACIN2,Aconitum infectum,Dicot,,,,,,NULL
ACINO,Acinos,Dicot,,,,,,NULL
ACJA,Achyranthes japonica,Dicot,,,,,,NULL
ACJA2,Acer japonicum,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acja2_001_pvp.jpg
ACJAH,Achyranthes japonica var. hachijoensis,Dicot,,,,,,NULL
ACKO,Acacia koa,Dicot,Yellow,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/pubs/acko_001_pvp.jpg
ACKO2,Acacia koaia,Dicot,Yellow,Green,Fine,Yellow,Rounded,NULL
ACLA12,Actaea laciniata,Dicot,,,,,,NULL
ACLA2,Acanthomintha lanceolata,Dicot,,,,,,NULL
ACLA8,Achnatherum latiglume,Monocot,,,,,,NULL
ACLE,Acer leucoderme,Dicot,,,,,,NULL
ACLE8,Achnatherum lemmonii,Monocot,,,,,,NULL
ACLE9,Achnatherum lettermanii,Monocot,Yellow,Green,Medium,Brown,Semi-Erect,NULL
ACLEI,Acleisanthes,Dicot,,,,,,NULL
ACLEL,Achnatherum lemmonii var. lemmonii,Monocot,Yellow,Green,Medium,Brown,Semi-Erect,NULL
ACLEP,Achnatherum lemmonii var. pubescens,Monocot,,,,,,NULL
ACLI2,Achillea ligustica,Dicot,,,,,,NULL
ACLO,Acacia longifolia,Dicot,Yellow,Green,Fine,Brown,Semi-Erect,http://plants.usda.gov/gallery/standard/aclo_001_shp.jpg
ACLO2,Acleisanthes longiflora,Dicot,,,,,,http://plants.usda.gov/gallery/standard/aclo2_001_shp.jpg
ACLO7,Achnatherum lobatum,Monocot,,,,,,NULL
ACLU,Actaea í„ludovici,Dicot,,,,,,NULL
ACMA3,Acer macrophyllum,Dicot,Yellow,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/standard/acma3_001_shp.jpg
ACMA4,Aconitum maximum,Dicot,,,,,,NULL
ACME,Acacia melanoxylon,Dicot,White,Dark Green,Fine,Brown,Erect,http://plants.usda.gov/gallery/standard/acme_001_shp.jpg
ACME7,Acalypha mexicana,Dicot,,,,,,NULL
ACME80,Acacia mearnsii,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acme80_001_shp.jpg
ACMEL,Acmella,Dicot,,,,,,NULL
ACMI2,Achillea millefolium,Dicot,White,Green,Fine,Brown,Erect,NULL
ACMI3,Acourtia microcephala,Dicot,,,,,,NULL
ACMIA,Achillea millefolium var. alpicola,Dicot,,,,,,NULL
ACMIA2,Achillea millefolium var. arenicola,Dicot,,,,,,NULL
ACMIB,Achillea millefolium var. borealis,Dicot,,,,,,NULL
ACMIC,Achillea millefolium var. californica,Dicot,,,,,,NULL
ACMIG,Achillea millefolium var. gigantea,Dicot,,,,,,NULL
ACMIL2,Achillea millefolium var. litoralis,Dicot,,,,,,NULL
ACMIM2,Achillea millefolium var. millefolium,Dicot,,,,,,NULL
ACMIN,Achillea millefolium var. nigrescens,Dicot,,,,,,NULL
ACMIO,Achillea millefolium var. occidentalis,Dicot,White,Green,Fine,Brown,Erect,http://plants.usda.gov/gallery/standard/acmio_001_shp.jpg
ACMIP,Achillea millefolium var. pacifica,Dicot,,,,,,NULL
ACMIP2,Achillea millefolium var. puberula,Dicot,,,,,,NULL
ACMO,Acalypha monostachya,Dicot,,,,,,NULL
ACMO2,Achyrachaena mollis,Dicot,,,,,,NULL
ACMO4,Acalypha monococca,Dicot,,,,,,NULL
ACMO8,Acanthus mollis,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acmo8_001_shp.jpg
ACMU2,Achyranthes mutica,Dicot,,,,,,NULL
ACMU5,Acaulon muticum,Moss,,,,,,http://plants.usda.gov/gallery/standard/acmu5_001_shp.jpg
ACNA,Aconitum napellus,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acna_001_pvp.jpg
ACNA2,Acourtia nana,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acna2_001_shp.jpg
ACNE,Acalypha neomexicana,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acne_001_pvp.jpg
ACNE10,Achnatherum nevadense,Monocot,,,,,,NULL
ACNE2,Acer negundo,Dicot,White,Green,Coarse,Brown,Erect,NULL
ACNE9,Achnatherum nelsonii,Monocot,,,,,,NULL
ACNEA,Acer negundo var. arizonicum,Dicot,,,,,,NULL
ACNEC2,Acer negundo var. californicum,Dicot,,,,,,NULL
ACNED,Achnatherum nelsonii ssp. dorei,Monocot,Yellow,Green,Fine,Brown,Erect,NULL
ACNEI2,Acer negundo var. interius,Dicot,,,,,,NULL
ACNEN,Acer negundo var. negundo,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acnen_001_pvp.jpg
ACNEN2,Achnatherum nelsonii ssp. nelsonii,Monocot,,,,,,http://plants.usda.gov/gallery/pubs/acnen2_001_pvp.jpg
ACNET,Acer negundo var. texanum,Dicot,,,,,,NULL
ACNEV,Acer negundo var. violaceum,Dicot,,,,,,NULL
ACNI5,Acer nigrum,Dicot,Yellow,Green,Medium,Brown,Erect,NULL
ACNO,Achillea nobilis,Dicot,,,,,,NULL
ACNO2,Aconitum noveboracense,Dicot,,,,,,NULL
ACNO7,Acaena novae-zelandiae,Dicot,,,,,,NULL
ACOB,Acanthomintha obovata,Dicot,,,,,,NULL
ACOB2,Acleisanthes obtusa,Dicot,,,,,,NULL
ACOBC,Acanthomintha obovata ssp. cordata,Dicot,,,,,,NULL
ACOBO,Acanthomintha obovata ssp. obovata,Dicot,,,,,,NULL
ACOC3,Achnatherum occidentale,Monocot,,,,,,NULL
ACOCC,Achnatherum occidentale ssp. californicum,Monocot,,,,,,NULL
ACOCO,Achnatherum occidentale ssp. occidentale,Monocot,Yellow,Green,Fine,Brown,Erect,NULL
ACOCP,Achnatherum occidentale ssp. pubescens,Monocot,,,,,,NULL
ACOEL,Acoelorraphe,Monocot,,,,,,NULL
ACONI,Aconitum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/aconi_001_shp.jpg
ACOP,Acmella oppositifolia,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acop_001_pvp.jpg
ACOPR,Acmella oppositifolia var. repens,Dicot,Green,Green,Fine,Black,Prostrate,http://plants.usda.gov/gallery/standard/acopr_001_shp.jpg
ACORU,Acorus,Monocot,,,,,,NULL
ACOS,Acalypha ostryifolia,Dicot,,,,,,NULL
ACOUR,Acourtia,Dicot,,,,,,NULL
ACPA,Actaea pachypoda,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acpa_001_pvp.jpg
ACPA13,Achnatherum parishii,Monocot,,,,,,http://plants.usda.gov/gallery/pubs/acpa13_001_pvp.jpg
ACPA14,Acaena pallida,Dicot,,,,,,NULL
ACPA2,Acer palmatum,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acpa2_001_shp.jpg
ACPA8,Acacia paradoxa,Dicot,,,,,,NULL
ACPA81,Acacia parramattensis,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acpa81_001_shp.jpg
ACPAD,Achnatherum parishii var. depauperatum,Monocot,,,,,,NULL
ACPAP,Achnatherum parishii var. parishii,Monocot,,,,,,NULL
ACPE,Acer pensylvanicum,Dicot,Yellow,Green,Medium,Brown,Erect,NULL
ACPE13,Achnatherum perplexum,Monocot,,,,,,NULL
ACPH3,Acalypha phleoides,Dicot,,,,,,NULL
ACPI2,Achnatherum pinetorum,Monocot,,,,,,NULL
ACPI3,Acaena pinnatifida,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acpi3_001_shp.jpg
ACPI4,Acmella pilosa,Dicot,,,,,,NULL
ACPIC2,Acaena pinnatifida var. californica,Dicot,,,,,,NULL
ACPL,Acer platanoides,Dicot,Green,Green,Medium,Brown,Rounded,http://plants.usda.gov/gallery/standard/acpl_001_shp.jpg
ACPO,Acalypha poiretii,Dicot,,,,,,NULL
ACPO11,Actaea podocarpa,Dicot,,,,,,NULL
ACPO2,Acacia podalyriifolia,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acpo2_001_shp.jpg
ACPO9,Actinidia polygama,Dicot,,,,,,NULL
ACPS,Acer pseudoplatanus,Dicot,Green,Yellow-Green,Coarse,Green,Erect,http://plants.usda.gov/gallery/standard/acps_001_shp.jpg
ACPT,Achillea ptarmica,Dicot,,,,,,NULL
ACPU,Acmella pusilla,Dicot,,,,,,NULL
ACPY3,Acacia pycnantha,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acpy3_001_shp.jpg
ACRA,Acalypha radians,Dicot,,,,,,NULL
ACRA6,Acrachne racemosa,Monocot,,,,,,http://plants.usda.gov/gallery/standard/acra6_001_shp.jpg
ACRA7,Actaea racemosa,Dicot,,,,,,NULL
ACRAC,Acrachne,Monocot,,,,,,NULL
ACRAD,Actaea racemosa var. dissecta,Dicot,,,,,,NULL
ACRAR,Actaea racemosa var. racemosa,Dicot,,,,,,NULL
ACRE,Aconitum reclinatum,Dicot,,,,,,NULL
ACRE2,Acacia retinodes,Dicot,,,,,,NULL
ACRE3,Acroptilon repens,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acre3_001_shp.jpg
ACRE9,Acacia redolens,Dicot,,,,,,NULL
ACRH,Acalypha rhomboidea,Dicot,,,,,,NULL
ACRI8,Achnatherum richardsonii,Monocot,,,,,,NULL
ACRO7,Achnatherum robustum,Monocot,,,,,,NULL
ACROC,Acrocomia,Monocot,,,,,,NULL
ACROP,Acroptilon,Dicot,,,,,,NULL
ACROS,Acrostichum,Fern,,,,,,NULL
ACRU,Acer rubrum,Dicot,Red,Green,Medium,Red,Rounded,NULL
ACRU14,Actaea rubifolia,Dicot,,,,,,NULL
ACRU2,Actaea rubra,Dicot,,,,,,NULL
ACRU3,Acourtia runcinata,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acru3_001_shp.jpg
ACRUA8,Actaea rubra ssp. arguta,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acrua8_001_shp.jpg
ACRUD,Acer rubrum var. drummondii,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acrud_001_shp.jpg
ACRUR,Acer rubrum var. rubrum,Dicot,,,,,,NULL
ACRUR2,Actaea rubra ssp. rubra,Dicot,,,,,,NULL
ACRUT,Acer rubrum var. trilobum,Dicot,,,,,,NULL
ACSA,Acacia saligna,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acsa_001_shp.jpg
ACSA2,Acer saccharinum,Dicot,Yellow,Green,Medium,Brown,Rounded,NULL
ACSA3,Acer saccharum,Dicot,Green,Green,Coarse,Brown,Erect,NULL
ACSAS,Acer saccharum var. saccharum,Dicot,,,,,,NULL
ACSAS2,Acer saccharum var. schneckii,Dicot,,,,,,NULL
ACSC11,Achnatherum scribneri,Monocot,,,,,,NULL
ACSC5,Acarospora schleicheri,Lichen,,,,,,http://plants.usda.gov/gallery/standard/acsc5_001_shp.jpg
ACSE,Acalypha setosa,Dicot,,,,,,NULL
ACSH,Acamptopappus shockleyi,Dicot,,,,,,http://plants.usda.gov/gallery/standard/acsh_001_shp.jpg
ACSI,Achillea sibirica,Dicot,,,,,,NULL
ACSP,Acamptopappus sphaerocephalus,Dicot,,,,,,NULL
ACSP10,Actaea spicata,Dicot,,,,,,NULL
ACSP12,Achnatherum speciosum,Monocot,Yellow,Green,Medium,Brown,Erect,http://plants.usda.gov/gallery/standard/acsp12_001_shp.jpg
ACSP2,Acer spicatum,Dicot,Yellow,Green,Coarse,Brown,Erect,NULL
ACSP3,Achyranthes splendens,Dicot,,,,,,NULL
ACSPA2,Achyranthes splendens var. atollensis,Dicot,,,,,,NULL
ACSPH,Acamptopappus sphaerocephalus var. hirtellus,Dicot,,,,,,NULL
ACSPR2,Achyranthes splendens var. rotundata,Dicot,,,,,,NULL
ACSPS,Achyranthes splendens var. splendens,Dicot,,,,,,NULL
ACSPS2,Acamptopappus sphaerocephalus var. sphaerocephalus,Dicot,,,,,,NULL
ACST7,Achnatherum stillmanii,Monocot,,,,,,NULL
ACSW3,Achnatherum swallenii,Monocot,,,,,,NULL
ACTA80,Acer tataricum,Dicot,,,,,,http://plants.usda.gov/gallery/pubs/acta80_001_pvp.jpg
ACTAE,Actaea,Dicot,,,,,,NULL
ACTE4,Acanthocereus tetragonus,Dicot,,,,,,NULL
ACTH,Acourtia thurberi,Dicot,,,,,,NULL
ACTH7,Achnatherum thurberianum,Monocot,Yellow,Gray-Green,Fine,Brown,Erect,http://plants.usda.gov/gallery/pubs/acth7_001_pvp.jpg
ACTIN3,Actinidia,Dicot,,,,,,NULL
ACTO5,Acrocomia totai,Monocot,,,,,,NULL
ACTR,Achlys triphylla,Dicot,,,,,,http://plants.usda.gov/gallery/standard/actr_001_shp.jpg
ACTR2,Acicarpha tribuloides,Dicot,,,,,,NULL
